START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
1,Cue,1,205,A78D756F-40CD-4B11-8590-E902A537AD5B,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,206,98285616-9393-427D-B94D-D1A7E3A85BDB,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,207,6D78316B-514F-4DED-BA14-587A179183F0,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,208,449018CB-1736-4D44-BBF0-9F140E0520E9,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,209,931DDF6F-B75B-41C3-A0C1-73984A7ABE1B,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
1,Cue,1,209,931DDF6F-B75B-41C3-A0C1-73984A7ABE1B,1,,3,0.5,,,,,,,,,3.5,,,,,,,,,,,,,,,,
1,Cue,1,209,931DDF6F-B75B-41C3-A0C1-73984A7ABE1B,2,,3,1,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,209,931DDF6F-B75B-41C3-A0C1-73984A7ABE1B,3,,3,1.5,,,,,,,,,4.5,,,,,,,,,,,,,,,,
1,Cue,1,209,931DDF6F-B75B-41C3-A0C1-73984A7ABE1B,4,,3,2,,,,,,,,,5,,,,,,,,,,,,,,,,
1,Cue,1,209,931DDF6F-B75B-41C3-A0C1-73984A7ABE1B,5,,3,2.5,,,,,,,,,5.5,,,,,,,,,,,,,,,,
1,Cue,1,209,931DDF6F-B75B-41C3-A0C1-73984A7ABE1B,6,,3,3,,,,,,,,,6,,,,,,,,,,,,,,,,
1,Cue,1,210,5F49D1A4-3E88-419F-AC6D-A3067B7B711A,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,211,9E4EC475-AC3F-4441-8821-038B652AFC2F,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
1,Cue,1,212,C261C82C-8E68-400C-8687-0F572018DF33,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
